Interval	Avg	CI=0.95	Limite Inferior	Limite Superior
680	29.441	3.926	25.515	33.367
681	29.287	3.905	25.382	33.192
682	29.124	3.862	25.262	32.986
683	29.013	3.839	25.174	32.852
684	29.213	3.741	25.472	32.954
685	29.463	3.715	25.748	33.178
686	29.526	3.708	25.818	33.234
687	29.344	3.712	25.632	33.056
688	29.332	3.718	25.614	33.050
689	29.454	3.771	25.683	33.225
690	29.442	3.924	25.518	33.366
691	29.462	3.983	25.479	33.445
692	29.387	3.924	25.463	33.311
693	29.152	3.867	25.285	33.019
694	29.453	3.797	25.656	33.250
695	29.732	3.730	26.002	33.462
696	29.614	3.689	25.925	33.303
697	29.619	3.619	26.000	33.238
698	29.644	3.476	26.168	33.120
699	29.609	3.279	26.330	32.888
700	29.738	3.352	26.386	33.090
701	30.268	3.467	26.801	33.735
702	30.693	3.656	27.037	34.349
703	30.882	3.715	27.167	34.597
704	30.776	3.689	27.087	34.465
705	30.725	3.783	26.942	34.508
706	30.524	3.673	26.851	34.197
707	30.349	3.621	26.728	33.970
708	30.052	3.547	26.505	33.599
709	30.026	3.565	26.461	33.591
710	29.815	3.515	26.300	33.330
711	29.863	3.583	26.280	33.446
712	29.622	3.550	26.072	33.172
713	29.599	3.558	26.041	33.157
714	29.544	3.618	25.926	33.162
715	29.428	3.577	25.851	33.005
716	29.100	3.713	25.387	32.813
717	29.229	3.753	25.476	32.982
718	29.181	3.697	25.484	32.878
719	29.264	3.719	25.545	32.983
720	28.938	3.681	25.257	32.619
721	29.031	3.702	25.329	32.733
722	29.319	3.757	25.562	33.076
723	29.634	3.884	25.750	33.518
724	29.717	3.894	25.823	33.611
725	29.584	3.832	25.752	33.416
726	29.413	3.795	25.618	33.208
727	29.405	3.804	25.601	33.209
728	29.493	3.849	25.644	33.342
729	29.395	3.785	25.610	33.180
730	29.632	3.764	25.868	33.396
731	29.580	3.673	25.907	33.253
732	29.546	3.599	25.947	33.145
733	29.463	3.506	25.957	32.969
734	29.618	3.571	26.047	33.189
735	29.551	3.523	26.028	33.074
736	29.751	3.407	26.344	33.158
737	29.640	3.281	26.359	32.921
738	29.836	2.986	26.850	32.822
739	29.916	2.972	26.944	32.888
740	29.963	2.689	27.274	32.652
741	30.025	2.768	27.257	32.793
742	29.649	2.723	26.926	32.372
743	29.481	2.792	26.689	32.273
744	29.532	3.021	26.511	32.553
