2018-04-06T16:55:51,365Z	10,419507
2018-04-06T16:55:51,426Z	10,365528
2018-04-06T16:55:51,509Z	10,331669
2018-04-06T16:55:51,921Z	11,068076
2018-04-06T16:55:52,017Z	11,767202
2018-04-06T16:55:52,060Z	11,722053
2018-04-06T16:55:52,114Z	11,666598
2018-04-06T16:55:52,613Z	11,167375
2018-04-06T16:55:52,929Z	10,888582
2018-04-06T16:55:52,937Z	10,888009
2018-04-06T16:55:52,941Z	10,851098
2018-04-06T16:55:53,111Z	10,669255
2018-04-06T16:55:53,363Z	10,416978
2018-04-06T16:55:53,469Z	10,314498
2018-04-06T16:55:53,816Z	11,9625
2018-04-06T16:55:53,914Z	11,902029
2018-04-06T16:55:54,303Z	11,528155
2018-04-06T16:55:54,514Z	11,267406
2018-04-06T16:55:54,669Z	11,120542
2018-04-06T16:55:54,771Z	13,01083
2018-04-06T16:55:54,883Z	12,896202
2018-04-06T16:55:55,116Z	12,665895
2018-04-06T16:55:55,325Z	14,464009
2018-04-06T16:55:55,583Z	14,222185
2018-04-06T16:55:55,635Z	14,159702
2018-04-06T16:55:55,765Z	16,01496
2018-04-06T16:55:55,907Z	15,872036
2018-04-06T16:55:56,113Z	15,66752
2018-04-06T16:55:56,364Z	15,416377
2018-04-06T16:55:56,863Z	14,91637
2018-04-06T16:55:57,363Z	14,416297
2018-04-06T16:55:57,613Z	14,16578
2018-04-06T16:55:57,844Z	13,933561
2018-04-06T16:55:57,886Z	13,907818
2018-04-06T16:55:58,009Z	13,769846
2018-04-06T16:55:58,363Z	13,41518
2018-04-06T16:55:59,211Z	12,633018
2018-04-06T16:55:59,425Z	12,378821
2018-04-06T16:55:59,454Z	12,340022
2018-04-06T16:55:59,638Z	12,147944
2018-04-06T16:55:59,907Z	11,876306
2018-04-06T16:56:00,363Z	11,416248
2018-04-06T16:56:00,462Z	11,316687
2018-04-06T16:56:00,489Z	11,289162
2018-04-06T16:56:00,616Z	11,16676
2018-04-06T16:56:00,807Z	10,972447
2018-04-06T16:56:00,885Z	10,917509
2018-04-06T16:56:01,153Z	10,660248
2018-04-06T16:56:01,434Z	10,397295
2018-04-06T16:56:01,611Z	14,169591
2018-04-06T16:56:01,857Z	13,923586
2018-04-06T16:56:01,924Z	13,867438
2018-04-06T16:56:02,209Z	13,57174
2018-04-06T16:56:02,368Z	13,41772
2018-04-06T16:56:02,865Z	12,91712
2018-04-06T16:56:03,116Z	12,667179
2018-04-06T16:56:03,769Z	12,447387
2018-04-06T16:56:03,840Z	12,412291
2018-04-06T16:56:03,954Z	12,853407
2018-04-06T16:56:04,056Z	13,535373
2018-04-06T16:56:04,117Z	13,671304
2018-04-06T16:56:04,320Z	13,475895
2018-04-06T16:56:04,365Z	13,421814
2018-04-06T16:56:04,615Z	13,171941
2018-04-06T16:56:05,115Z	12,671998
2018-04-06T16:56:05,381Z	12,41728
2018-04-06T16:56:05,893Z	11,92275
2018-04-06T16:56:06,167Z	11,672436
2018-04-06T16:56:06,615Z	11,172959
