Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
280.000000 0.001446 0.007323 0.009432 0.010814 0.009808 0.001456 0.009217 0.008597 0.011164 0.012130 0.081387
281.000000 0.001964 0.008494 0.031793 0.011958 0.010217 0.001770 0.009450 0.009335 0.010855 0.016241 0.112077
282.000000 0.001993 0.007745 0.011319 0.011913 0.010713 0.001779 0.010895 0.011773 0.009847 0.010815 0.088792
283.000000 0.001430 0.007855 0.010898 0.008773 0.012544 0.001912 0.008496 0.013648 0.013127 0.025112 0.103795
284.000000 0.000000 0.000000 0.000000 0.000000 1.728816 0.000000 0.000000 0.000000 0.220687 0.000000 1.949503
285.000000 0.002415 0.000000 0.226351 1.774358 0.000000 0.002723 1.742252 0.090295 0.000000 0.096593 3.934987
286.000000 0.002955 0.017243 0.000000 0.017686 0.000000 0.000000 0.000000 0.000000 0.013585 0.016980 0.068449
287.000000 0.000000 0.011016 0.013856 0.016098 0.015153 0.012272 0.014798 0.016984 0.010617 0.009889 0.120683
288.000000 0.001503 0.007611 0.015556 0.015805 0.009716 0.001397 0.011501 0.050604 0.016387 0.010977 0.141057
289.000000 0.001649 0.007424 0.009118 0.011901 0.012810 0.001818 0.010057 0.010836 0.009897 0.010886 0.086396
290.000000 0.001703 0.008151 0.010257 0.033224 0.009683 0.001810 0.008585 0.013026 0.009555 0.034426 0.130420
291.000000 0.001679 0.007543 0.008200 0.009163 0.010755 0.001752 0.009066 0.011851 0.009957 0.011893 0.081859
292.000000 0.001777 0.007351 0.010165 0.009412 0.010626 0.001850 0.016625 0.014621 0.031138 0.010852 0.114417
293.000000 0.001681 0.008125 0.008888 0.009192 0.037139 0.001850 0.008931 0.012618 0.010457 0.013769 0.112650
294.000000 0.001845 0.008923 0.009085 0.010412 0.008523 0.001667 0.009956 0.012331 0.008889 0.010526 0.082157
295.000000 0.001753 0.008185 0.009736 0.010144 0.009452 0.001598 0.010271 0.013347 0.009460 0.010670 0.084616
