Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 1-10.0.0.6-10.0.0.2 5-10.0.0.6-10.0.0.2 2-10.0.0.6-10.0.0.2 3-10.0.0.6-10.0.0.2 4-10.0.0.6-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
93.000000 0.001694 0.016346 0.025839 0.000000 0.074531 0.001563 0.017840 0.000000 0.000000 0.000000 0.000619 0.002268 0.001930 0.003773 0.001782 0.148185
94.000000 0.001285 0.026804 0.013850 0.049408 0.000000 0.000754 0.071943 0.017015 0.019780 0.023144 0.000243 0.000787 0.000685 0.003372 0.000686 0.229756
95.000000 0.001185 0.008602 0.008115 0.014145 0.012576 0.000988 0.013027 0.008366 0.010655 0.010415 0.000621 0.003491 0.003824 0.004057 0.003730 0.103797
96.000000 0.001006 0.023702 0.013060 0.007421 0.010586 0.000934 0.010554 0.013099 0.012747 0.011992 0.000269 0.000828 0.000676 0.002732 0.000562 0.110168
97.000000 0.000801 0.008611 0.009758 0.007092 0.009360 0.000992 0.007464 0.008271 0.007149 0.012908 0.000407 0.001724 0.001746 0.003602 0.001247 0.081132
98.000000 0.000968 0.011887 0.013276 0.006904 0.022556 0.000985 0.009229 0.008134 0.008074 0.015484 0.000966 0.004608 0.005593 0.006679 0.005536 0.120879
99.000000 0.001008 0.012137 0.012527 0.005914 0.009497 0.000990 0.008863 0.008205 0.008150 0.014642 0.000360 0.000626 0.000714 0.004228 0.000640 0.088501
100.000000 0.000946 0.010492 0.011460 0.005841 0.007519 0.000920 0.038330 0.007727 0.005782 0.040888 0.000697 0.002938 0.003614 0.004462 0.003943 0.145559
101.000000 0.001024 0.010926 0.010421 0.005983 0.008492 0.000910 0.007586 0.008555 0.006513 0.012725 0.000298 0.000653 0.000727 0.002942 0.000609 0.078364
102.000000 0.000960 0.010783 0.010322 0.005567 0.008291 0.000959 0.008015 0.007858 0.006661 0.015157 0.000388 0.000607 0.001177 0.003190 0.000826 0.080761
103.000000 0.000957 0.037437 0.009944 0.006121 0.008204 0.001224 0.008802 0.008289 0.006075 0.013781 0.000603 0.001295 0.001180 0.003648 0.001440 0.109000
104.000000 0.000903 0.011711 0.009223 0.006627 0.007880 0.001379 0.009699 0.007307 0.007981 0.015000 0.000345 0.000833 0.001022 0.003381 0.000704 0.083995
105.000000 0.001012 0.012296 0.008755 0.007726 0.008779 0.001186 0.009284 0.006242 0.008037 0.014063 0.000611 0.000892 0.001696 0.003734 0.001815 0.086128
106.000000 0.001093 0.010770 0.007701 0.008265 0.008855 0.001601 0.008574 0.006013 0.006448 0.012430 0.000893 0.003121 0.003038 0.004139 0.003273 0.086214
107.000000 0.001407 0.017826 0.005711 0.010553 0.011026 0.001457 0.010379 0.009344 0.011035 0.034106 0.000465 0.000724 0.001723 0.004241 0.000753 0.120750
108.000000 0.002240 0.016295 0.032223 0.039006 0.127308 0.002589 0.016292 0.015486 0.016417 0.021314 0.000252 0.000601 0.000447 0.003489 0.000587 0.294546
109.000000 0.000974 0.494719 0.014031 0.010826 0.009603 0.000999 0.008774 0.007581 0.011058 0.009379 0.000358 0.000616 0.000642 0.002961 0.000565 0.573086
110.000000 0.000807 0.011442 0.108374 0.010760 0.013499 0.001177 0.008099 0.006513 0.011203 0.010137 0.000264 0.000380 0.000520 0.002908 0.000427 0.186510
111.000000 0.000906 0.011594 0.007444 0.006933 0.008906 0.001146 0.009934 0.007791 0.008846 0.040535 0.000238 0.000375 0.000480 0.002882 0.000436 0.108446
112.000000 0.000958 0.013223 0.007058 0.008798 0.009431 0.001125 0.010525 0.009782 0.009851 0.009540 0.000322 0.000501 0.000802 0.003223 0.000592 0.085731
113.000000 0.000915 0.013757 0.007143 0.005672 0.008684 0.001125 0.009902 0.008648 0.009245 0.009080 0.000230 0.000582 0.000766 0.002677 0.000636 0.079062
114.000000 0.000904 0.011637 0.006839 0.005598 0.008572 0.001074 0.009763 0.009193 0.009674 0.009542 0.000228 0.000480 0.000764 0.003762 0.000600 0.078630
